;item_type;name;description;description_alt;quantitative_effect
0;mode;télépathie;Discipline permettant de détecter les esprits, d'accéder à certains de leurs sous-systèmes et d'effectuer des actions sur ces derniers. De la même manière qu'un individu peut agir sur ses propres pensées, son corps, ses souvenirs, etc, le télépathe a un contrôle plus profond et qui peut s'étendre à d'autres esprits que le sien;;
1;list;Détection;Détection de la conscience de créatures biologiques. La distance, à la fois littérale que figurative, le nombre des individus détectés, ainsi que la nature des esprits viennent influer sur la capacité du télépathe à les détecter;;
2;sublist;Trace;Proximité figurative entre le télépathe et sa cible, comparable à l'importance de l'individu dans le paysage psychologique du télépathe;;
3;0;non nécessaire;sous-liste non pertinente;;
4;1;Personne proche;Connaissance intime;;
5;2;Personne connue;Souvenir d’interactions passée, informations biométriques de base;;
6;3;Personne aperçue;Personne connue de visu, ou de réputation;;
7;4;Étranger;Aucune relation préalable;;
8;5;À l’aveugle;Pas de certitude sur la présence de la personne;;
9;sublist;Complexité;Proximité structurelle entre la conscience du parapsy et celle de sa cible, similarité entre le fonctionnement des deux types de pensées;;
10;0;non nécessaire;sous-liste non pertinente;;
11;1;Conscience proche;Esprit similaire à celui d’un être humain éveillé;;
12;2;Conscience éloignée;Esprit conscient différent de celui d’un être humain (grands primates, non-humains conscients);;
13;3;Conscience limitée;Esprit réduit, conscience non réfléchie (mammifères);;
14;4;Conscience passive;Esprit supérieur (humain, grand primate) en état léthargique (sommeil, coma);;
15;5;Conscience basique;Esprit très limité (animaux) ou esprit réduit (mammifères) en état léthargique (sommeil, coma);;
16;sublist;Multiplicité;Quantité des cibles, reflète la nécessité de diviser son attention pour détecter plusieurs esprits;;
17;0;non nécessaire;sous-liste non pertinente;;
18;1;Cible unique;1 cible;;
19;2;Paire;2 cibles;;
20;3;Groupe;Max INTELLIGENCE cibles;;
21;4;Foule;Max 5 x INTELLIGENCE cibles;;
22;5;Population;Sans limite de nombre;;
23;sublist;Distance;proximité sensorielle ou littérale entre le télépathe et sa cible, vient représenter l'importance immédiate de la cible dans le paysage physique du télépathe;;
24;0;non nécessaire;sous-liste non pertinente;;
25;1;Dialogue établi;Attention directe réciproque entre la cible et le parapsy;Contact physique;
26;2;Individu perçu;Attention indirecte ou unilatérale entre la cible et le parapsy;Dans un rayon de VOLONTÉ mètres;
27;3;Distance limitée;Attention indirecte et unilatérale entre la cible et le parapsy;Dans un rayon de 10 x VOLONTÉ mètres;
28;4;Longue distance;Ignorance sensorielle réciproque entre la cible et le parapsy;Dans un rayon de VOLONTÉ kilomètres;
29;5;Distance illimitée;Ignorance existentielle réciproque entre la cible et le parapsy;Sans limite de distance;
30;list;Accès;Accès aux différents niveaux de l'arborescence des systèmes nerveux. Certains composants son plus proches de la surface de l'esprit, tandis que d'autres sont enfouis profondément;;
31;sublist;Système Nerveux Sensoriel;Partie du système nerveux responsable de la détection, transmission et traitement initial des informations sensorielles provenant de l'environnement externe et interne;;
32;0;non nécessaire;sous-liste non pertinente;;
33;1;Sens primaire conscient ;Vue active, sons entendus;;Système Nerveux pour action impliquant la Caractéristique
34;2;Sens secondaire conscient;Toucher, goût, odorat, proprioception;;Système Nerveux
35;3;Imagination sensorielle;Images mentales, sons imaginés;;Malus de Qualité associée la Caractéristique
36;4;Immersion sensorielle;Contrôle sensoriel sur le sens de la réalité;;Bonus de Qualité associée la Caractéristique
37;5;Perception subliminale;Stimuli sous le seuil de conscience;;Valeur de la Caractéristique
38;sublist;Système Limbique;Partie du système nerveux jouant un rôle central dans les émotions, la mémoire, la motivation et les comportements instinctifs;;
39;0;non nécessaire;sous-liste non pertinente;;
40;1;Émotions de surface;Ce que la cible ressent consciemment maintenant;;Système Nerveux pour action impliquant la Caractéristique
41;2;Émotions primaires;Peur, joie, colère, tristesse;;Système Nerveux
42;3;Émotions complexes;Jalousie, nostalgie, fierté, honte;;Malus de Qualité associée la Caractéristique
43;4;États affectifs profonds;Attachement, trauma, désir inconscient;;Bonus de Qualité associée la Caractéristique
44;5;Architecture émotionnelle;Tempérament, patterns affectifs fondamentaux;;Valeur de la Caractéristique
45;sublist;Système Cognitif;Partie du système nerveux permettant l'acquisition, le traitement, le stockage et l'utilisation de l'information pour la pensée abstraite, le raisonnement et l'adaptation intelligente;;
46;0;non nécessaire;sous-liste non pertinente;;
47;1;Pensées destinées;Ce que la cible veut communiquer;;Système Nerveux pour action impliquant la Caractéristique
48;2;Dialogue intérieur;Pensées verbales conscientes;;Système Nerveux
49;3;Mémoire récente;Souvenirs des dernières heures/jours;;Malus de Qualité associée la Caractéristique
50;4;Mémoire profonde;Souvenirs anciens, refoulés, fragmentés;;Bonus de Qualité associée la Caractéristique
51;5;Logique inconscients;Logique sous-jacente, biais, conditionnements;;Valeur de la Caractéristique
52;sublist;Système Nerveux Moteur;Partie du système nerveux responsable de la planification, du contrôle et de l'exécution des mouvements volontaires et involontaires par l'activation des muscles squelettiques, lisses et cardiaques;;
53;0;non nécessaire;sous-liste non pertinente;;
54;1;Intention motrice consciente;Mouvements que la cible planifie;;Système Nerveux pour action impliquant la Caractéristique
55;2;Grands muscles volontaires;Bras, jambes, torse;;Système Nerveux
56;3;Petits muscles volontaires;Doigts, yeux, bouche;;Malus de Qualité associée la Caractéristique
57;4;Muscles semi-autonomes;Respiration, déglutition;;Bonus de Qualité associée la Caractéristique
58;5;Muscles autonomes;Cœur, digestion, pupilles;;Valeur de la Caractéristique
